field_ID,sample_ID,country,country_full,site,site_full,farmer_no,type,species,variety,material,material_type,date,UTM_easting,UTM_northing,coordinate_system,altitude
CI_tb_11,CI_tb_11_soil,ci,Côte d'Ivoire,tb,Tiéningboué,11,cal,D. rotundata,Krenglè,soil,soil_cal,20140709,195513,895684,UTM,297
CI_tb_11,CI_tb_11_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,11,add,D. rotundata,Krenglè,soil,soil_add,20140709,195513,895684,UTM,297
CI_tb_12,CI_tb_12_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,12,cal,D. rotundata,Djiminikou/koudjan,leaf,leaf,20140709,194740,893319,UTM,283
CI_tb_12,CI_tb_12_vine,ci,Côte d'Ivoire,tb,Tiéningboué,12,cal,D. rotundata,Djiminikou/koudjan,vine,vine,20140709,194740,893319,UTM,283
CI_tb_12,CI_tb_12_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,12,cal,D. rotundata,Djiminikou/koudjan,soil,soil_cal,20140709,194740,893319,UTM,283
CI_tb_12,CI_tb_12_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,12,add,D. rotundata,Djiminikou/koudjan,soil,soil_add,20140709,194740,893319,UTM,283
CI_tb_13,CI_tb_13_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,13,cal,D. alata,Bètè bètè,leaf,leaf,20140709,197796,891508,UTM,313
CI_tb_13,CI_tb_13_vine,ci,Côte d'Ivoire,tb,Tiéningboué,13,cal,D. alata,Bètè bètè,vine,vine,20140709,197796,891508,UTM,313
CI_tb_13,CI_tb_13_tuber,ci,Côte d'Ivoire,tb,Tiéningboué,13,cal,D. alata,Bètè bètè,tuber,tuber,20140709,197796,891508,UTM,313
CI_tb_13,CI_tb_13_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,13,cal,D. alata,Bètè bètè,soil,soil_cal,20140709,197796,891508,UTM,313
CI_tb_13,CI_tb_13_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,13,add,D. alata,Bètè bètè,soil,soil_add,20140709,197796,891508,UTM,313
CI_tb_14,CI_tb_14_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,14,cal,D. rotundata,Krenglè,leaf,leaf,20140711,201157,899091,UTM,319
CI_tb_14,CI_tb_14_vine,ci,Côte d'Ivoire,tb,Tiéningboué,14,cal,D. rotundata,Krenglè,vine,vine,20140711,201157,899091,UTM,319
CI_tb_14,CI_tb_14_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,14,cal,D. rotundata,Krenglè,soil,soil_cal,20140711,201157,899091,UTM,319
CI_tb_14,CI_tb_14_soil_add,ci,Côte d'Ivoire,tb,Tiéningboué,14,add,D. rotundata,Krenglè,soil,soil_add,20140711,201157,899091,UTM,319
CI_tb_15,CI_tb_15_leaf,ci,Côte d'Ivoire,tb,Tiéningboué,15,cal,D. rotundata,Krenglè,leaf,leaf,20140711,202295,891321,UTM,312
CI_tb_15,CI_tb_15_vine,ci,Côte d'Ivoire,tb,Tiéningboué,15,cal,D. rotundata,Krenglè,vine,vine,20140711,202295,891321,UTM,312
CI_tb_15,CI_tb_15_soil_cal,ci,Côte d'Ivoire,tb,Tiéningboué,15,cal,D. rotundata,Krenglè,soil,soil_cal,20140711,202295,891321,UTM,312
